Symbol,HV_30d
MCHP,0.4095578694943772
DVA,0.40885730669712844
SWK,0.404146640426738
EPAM,0.4014158162275483
INCY,0.40107563696727583
PYPL,0.40074936736203387
LEN,0.4000006091617229
GFS,0.39978420941265874
KLAC,0.39914554696079535
TKO,0.39755880250669456
META,0.39660519473025796
VRSN,0.3953612725197974
CI,0.3944338517619893
APA,0.39332971386296117
TMO,0.3931613408448724
GM,0.3929181873183435
UPS,0.387150416990443
FCX,0.3868464869930322
BKR,0.3854478189017394
CF,0.38302447355609737
MHK,0.3821289560315713
AIZ,0.38170251496746294
DXCM,0.3768005698798939
GLW,0.3756336975570314
DELL,0.37285916627072613
NEM,0.3723642008250299
EXR,0.3720646578971574
LMT,0.36996663977733407
URI,0.36993221942567156
GWW,0.36965163968525094
APTV,0.36719966190231634
VTRS,0.36618735913499717
DDOG,0.36605695724725895
ASML,0.3651498996712908
HSIC,0.36470855291948595
LRCX,0.3645813624436516
TEL,0.36255938147394845
WDC,0.3617747826729423
WSM,0.35990735909211624
AES,0.3574183354419373
EFX,0.3570132071507946
DASH,0.3569837277177149
EXE,0.35681298473943784
MKTX,0.3561346021874606
PTC,0.355941823189495
UHS,0.35558390285031305
LULU,0.35552841976462873
OMC,0.35423920685919447
MSCI,0.3540951804531175
BRO,0.3533442643950928
LII,0.35137622003649727
GILD,0.350774898629979
ABNB,0.3504574832957251
PODD,0.34888923158393004
CDNS,0.34716824908376454
BF-B,0.3456799885456873
SNPS,0.3456279337801661
IPG,0.3430486844627275
BIIB,0.33933683501171197
ADSK,0.3388205378915676
SW,0.3385059146929944
FIS,0.33826112373319395
WDAY,0.3371428998463616
NOW,0.335232967471678
ORCL,0.33512855949348125
FICO,0.3345223430319213
TGT,0.33422498325408634
JBL,0.33417524961959605
CEG,0.3333157960739567
PAYC,0.3332853177059479
NXPI,0.3323857892667906
PM,0.330649920401135
EA,0.3302843177790257
AMZN,0.32782398769578175
POOL,0.32627943080833793
ARE,0.32603388300272906
EXPE,0.32578714427087674
A,0.32485139867828183
BDX,0.3242842668377744
TT,0.3231186681288973
BMY,0.3230395970239577
STX,0.32298583926791186
NVR,0.3225839788594263
GL,0.32181449983611876
VLO,0.3216776853236001
HII,0.3213602247649416
GEHC,0.32020238337513063
GEN,0.31994252422102615
ESS,0.31923753023245716
XYL,0.31888354582060063
KMX,0.31861802755171387
ABT,0.31818101396196224
RL,0.31615242982222924
APO,0.3159270232180931
QCOM,0.31532718738942656
BXP,0.31517101473426773
ZS,0.3149321332020652
DE,0.3137082473711437
HAL,0.3106823594575506
ZBH,0.30809229738245897
AKAM,0.30713769445255146
CRWD,0.30661874455279287
BBY,0.30619032163726423
ETN,0.30505748149785766
RCL,0.30386105710889183
GRMN,0.3037994098746284
CSGP,0.30324834188215805
STT,0.3028831183010699
CVS,0.3027213564513212
STLD,0.3021015812123094
KKR,0.3017852521424478
FDX,0.30053847951132706
IFF,0.3001691971998439
HWM,0.2992421856080954
TXT,0.29751039807088586
PEP,0.29690534967010984
NFLX,0.2947641969002638
BX,0.2947115210381605
MTD,0.2945672504888004
ACN,0.2945509945740039
DHR,0.29294832536711884
MGM,0.2923948888860634
CCEP,0.29222328411589893
BG,0.2919891527362006
AVGO,0.29114885191682116
FOXA,0.2905334079504786
CPAY,0.28985682214772285
SLB,0.2895928740057699
TYL,0.2895537939800926
SBUX,0.2881357367229001
SNA,0.2881214169856687
IBM,0.2862943318436688
DGX,0.2860887656077153
JBHT,0.2856427598435701
AZN,0.28358682515681305
FOX,0.28216408325746295
ADI,0.28215368089765464
WFC,0.28162003006789127
REGN,0.2804558341789626
HPE,0.2794661204881302
DOC,0.2793893479076901
CAH,0.27875051468948153
KHC,0.2786026445105364
CBRE,0.27815375960049227
JCI,0.27714758868673706
LH,0.27626799893979576
STZ,0.27588529986980864
ALLE,0.27548175687882775
WY,0.27530354221630854
IRM,0.27451431877516036
NOC,0.27438823829882114
PFE,0.2723776178137543
NUE,0.27221567406704317
BALL,0.27204465264840927
CTRA,0.27204369567209113
MAS,0.27200650842201035
MNST,0.2718600632075551
